iterations,expected value,max steps,time
717,-247.8,170,0.0
718,-203.1,166,0.0
719,-216.5,154,0.0
720,-218.8,377,0.0
721,-298.8,848,0.0
722,-195.5,170,0.0
723,-182.5,128,0.0
724,-277.1,179,0.0
725,-248.5,362,0.0
726,-254.0,225,0.0
727,-291.7,147,0.0
728,-279.6,124,0.0
729,-224.0,150,0.0
730,-274.1,119,0.0
731,-381.3,126,0.0
732,-378.8,121,0.0
733,-448.0,301,0.0
734,-258.9,148,0.0
735,-670.2,289,0.0
736,-301.3,159,0.0
737,-210.8,109,0.0
738,-251.3,330,0.0
739,-956.9,5616,0.0
740,-280.0,269,0.0
741,-265.7,397,0.0
742,-164.4,127,0.0
743,-312.1,429,0.0
744,-748.6,410,0.0
745,-155.6,121,0.0
746,-206.6,262,0.0
747,-274.9,498,0.0
748,-242.5,584,0.0
749,-392.5,1410,0.0
750,-221.2,154,0.0
751,-306.7,137,0.0
752,-237.6,154,0.0
753,-225.7,152,0.0
754,-284.1,509,0.0
755,-295.8,888,0.0
756,-298.5,245,0.0
757,-279.1,401,0.0
758,-295.2,1014,0.0
759,-314.1,216,0.0
760,-401.1,521,0.0
761,-208.4,249,0.0
762,-244.2,249,0.0
763,-247.3,327,0.0
764,-239.8,174,0.0
765,-187.3,201,0.0
766,-234.0,276,0.0
767,-337.1,253,0.0
768,-228.3,358,0.0
769,-377.1,734,0.0
770,-224.4,142,0.0
771,-182.6,177,0.0
772,-214.6,228,0.0
773,-196.5,149,0.0
774,-225.4,140,0.0
775,-183.1,158,0.0
776,-207.3,131,0.0
777,-229.5,156,0.0
778,-212.2,138,0.0
779,-180.5,128,0.0
780,-163.3,105,0.0
781,-182.1,128,0.0
782,-172.3,108,0.0
783,-177.5,124,0.0
784,-198.7,101,0.0
785,-251.4,146,0.0
786,-261.7,220,0.0
787,-293.5,187,0.0
788,-264.4,157,0.0
789,-257.1,155,0.0
790,-403.9,132,0.0
791,-213.1,113,0.0
792,-230.5,130,0.0
793,-216.3,155,0.0
794,-293.1,550,0.0
795,-206.4,176,0.0
796,-207.8,133,0.0
797,-184.1,132,0.0
798,-254.6,251,0.0
799,-234.0,163,0.0
800,-250.8,218,0.0
801,-209.4,172,0.0
802,-365.9,180,0.0
803,-472.7,140,0.0
804,-225.1,125,0.0
805,-419.5,153,0.0
806,-805.5,142,0.0
807,-214.4,143,0.0
808,-1332.3,140,0.0
809,-244.8,153,0.0
810,-438.7,183,0.0
811,-307.5,142,0.0
812,-171.9,134,0.0
813,-182.3,135,0.0
814,-196.3,141,0.0
815,-371.6,291,0.0
816,-206.6,169,0.0
817,-312.5,162,0.0
818,-221.1,205,0.0
819,-377.0,275,0.0
820,-362.2,181,0.0
821,-525.2,187,0.0
822,-178.0,117,0.0
823,-184.5,139,0.0
824,-197.1,156,0.0
825,-209.3,502,0.0
826,-222.3,184,0.0
827,-292.4,152,0.0
828,-214.3,164,0.0
829,-335.4,184,0.0
830,-244.3,124,0.0
831,-217.5,137,0.0
832,-219.1,110,0.0
833,-390.6,130,0.0
834,-244.6,244,0.0
835,-394.8,195,0.0
836,-233.2,171,0.0
837,-246.5,140,0.0
838,-240.1,144,0.0
839,-181.2,135,0.0
840,-304.1,125,0.0
841,-177.6,114,0.0
842,-200.1,115,0.0
843,-187.0,422,0.0
844,-172.7,135,0.0
845,-197.2,149,0.0
846,-293.5,137,0.0
847,-372.2,394,0.0
848,-185.1,317,0.0
849,-254.4,159,0.0
850,-184.8,137,0.0
851,-291.6,257,0.0
852,-174.5,167,0.0
853,-256.6,168,0.0
